 ,X,Y
471,132.500,62.500
472,137.500,62.500
473,142.500,62.500
474,147.500,62.500
475,152.500,62.500
476,157.500,62.500
477,162.500,62.500
478,167.500,62.500
479,172.500,62.500
480,177.500,62.500
481,180.500,62.500
482,2.500,67.500
483,7.500,67.500
484,12.500,67.500
485,17.500,67.500
486,22.500,67.500
487,27.500,67.500
488,32.500,67.500
489,37.500,67.500
490,42.500,67.500
491,47.500,67.500
492,52.500,67.500
493,57.500,67.500
494,62.500,67.500
495,67.500,67.500
496,72.500,67.500
497,77.500,67.500
498,82.500,67.500
499,87.500,67.500
500,92.500,67.500
501,97.500,67.500
502,102.500,67.500
503,107.500,67.500
504,112.500,67.500
505,117.500,67.500
506,122.500,67.500
507,127.500,67.500
508,132.500,67.500
509,137.500,67.500
510,142.500,67.500
511,147.500,67.500
512,152.500,67.500
513,157.500,67.500
514,162.500,67.500
515,167.500,67.500
516,172.500,67.500
517,177.500,67.500
518,180.500,67.500
519,2.500,72.500
520,7.500,72.500
521,12.500,72.500
522,17.500,72.500
523,22.500,72.500
524,27.500,72.500
525,32.500,72.500
526,37.500,72.500
527,42.500,72.500
528,47.500,72.500
529,52.500,72.500
530,57.500,72.500
531,62.500,72.500
532,67.500,72.500
533,72.500,72.500
534,77.500,72.500
535,82.500,72.500
536,87.500,72.500
537,92.500,72.500
538,97.500,72.500
539,102.500,72.500
540,107.500,72.500
541,112.500,72.500
542,117.500,72.500
543,122.500,72.500
544,127.500,72.500
545,132.500,72.500
546,137.500,72.500
547,142.500,72.500
548,147.500,72.500
549,152.500,72.500
550,157.500,72.500
551,162.500,72.500
552,167.500,72.500
553,172.500,72.500
554,177.500,72.500
555,180.500,72.500
556,2.500,77.500
557,7.500,77.500
558,12.500,77.500
559,17.500,77.500
560,22.500,77.500
561,27.500,77.500
562,32.500,77.500
563,37.500,77.500
564,42.500,77.500
565,47.500,77.500
566,52.500,77.500
567,57.500,77.500
568,62.500,77.500
569,67.500,77.500
570,72.500,77.500
571,77.500,77.500
572,82.500,77.500
573,87.500,77.500
